Date,Centre_Name,Commodity_Name,Price
21-01-19,BHOPAL,Wheat,
21-01-19,MUMBAI,Wheat,
21-01-19,JAIPUR,Wheat,1200.0
21-01-19,PATNA,Wheat,
21-01-19,RANCHI,Wheat,
21-01-19,BHUBANESHWAR,Wheat,1220.0
21-01-19,KOLKATA,Wheat,
21-01-19,GUWAHATI,Wheat,
21-01-19,SHILLONG,Wheat,
21-01-19,AIZWAL,Wheat,
21-01-19,KOHIMA,Wheat,
21-01-19,AGARTALA,Wheat,
21-01-19,BENGALURU,Wheat,1700.0
21-01-19,T.PURAM,Wheat,
21-01-19,CHENNAI,Wheat,
21-01-19,HYDERABAD,Wheat,
22-01-19,CHANDIGARH,Wheat,
22-01-19,DELHI,Wheat,1180.0
22-01-19,SHIMLA,Wheat,
22-01-19,SRINAGAR,Wheat,
22-01-19,JAMMU,Wheat,
22-01-19,AMRITSAR,Wheat,1000.0
22-01-19,LUDHIANA,Wheat,1100.0
22-01-19,LUCKNOW,Wheat,
22-01-19,DEHRADUN,Wheat,
22-01-19,RAIPUR,Wheat,
22-01-19,AHMEDABAD,Wheat,
22-01-19,BHOPAL,Wheat,
22-01-19,MUMBAI,Wheat,
22-01-19,JAIPUR,Wheat,1200.0
22-01-19,PATNA,Wheat,
22-01-19,RANCHI,Wheat,
22-01-19,BHUBANESHWAR,Wheat,1220.0
22-01-19,KOLKATA,Wheat,
22-01-19,GUWAHATI,Wheat,
22-01-19,SHILLONG,Wheat,
22-01-19,AIZWAL,Wheat,
22-01-19,KOHIMA,Wheat,
22-01-19,AGARTALA,Wheat,
22-01-19,BENGALURU,Wheat,1700.0
22-01-19,T.PURAM,Wheat,
22-01-19,CHENNAI,Wheat,1540.0
22-01-19,HYDERABAD,Wheat,
23-01-19,CHANDIGARH,Wheat,
23-01-19,DELHI,Wheat,1190.0
23-01-19,SHIMLA,Wheat,
23-01-19,SRINAGAR,Wheat,
23-01-19,JAMMU,Wheat,
23-01-19,AMRITSAR,Wheat,1000.0
23-01-19,LUDHIANA,Wheat,1100.0
23-01-19,LUCKNOW,Wheat,
23-01-19,DEHRADUN,Wheat,
23-01-19,RAIPUR,Wheat,
23-01-19,AHMEDABAD,Wheat,
23-01-19,BHOPAL,Wheat,
23-01-19,MUMBAI,Wheat,
23-01-19,JAIPUR,Wheat,
23-01-19,PATNA,Wheat,
23-01-19,RANCHI,Wheat,
23-01-19,BHUBANESHWAR,Wheat,
23-01-19,KOLKATA,Wheat,
23-01-19,GUWAHATI,Wheat,
23-01-19,SHILLONG,Wheat,
23-01-19,AIZWAL,Wheat,
23-01-19,KOHIMA,Wheat,
23-01-19,AGARTALA,Wheat,
23-01-19,BENGALURU,Wheat,
23-01-19,T.PURAM,Wheat,
23-01-19,CHENNAI,Wheat,1540.0
23-01-19,HYDERABAD,Wheat,
27-01-19,CHANDIGARH,Wheat,
27-01-19,DELHI,Wheat,1170.0
27-01-19,SHIMLA,Wheat,
27-01-19,SRINAGAR,Wheat,
27-01-19,JAMMU,Wheat,
27-01-19,AMRITSAR,Wheat,1000.0
27-01-19,LUDHIANA,Wheat,1100.0
27-01-19,LUCKNOW,Wheat,
27-01-19,DEHRADUN,Wheat,
27-01-19,RAIPUR,Wheat,
27-01-19,AHMEDABAD,Wheat,
27-01-19,BHOPAL,Wheat,
27-01-19,MUMBAI,Wheat,
27-01-19,JAIPUR,Wheat,
27-01-19,PATNA,Wheat,
27-01-19,RANCHI,Wheat,
27-01-19,BHUBANESHWAR,Wheat,1220.0
27-01-19,KOLKATA,Wheat,
27-01-19,GUWAHATI,Wheat,
27-01-19,SHILLONG,Wheat,
27-01-19,AIZWAL,Wheat,
27-01-19,KOHIMA,Wheat,
27-01-19,AGARTALA,Wheat,
27-01-19,BENGALURU,Wheat,1700.0
27-01-19,T.PURAM,Wheat,
27-01-19,CHENNAI,Wheat,
27-01-19,HYDERABAD,Wheat,
28-01-19,CHANDIGARH,Wheat,
28-01-19,DELHI,Wheat,1180.0
28-01-19,SHIMLA,Wheat,
28-01-19,SRINAGAR,Wheat,
28-01-19,JAMMU,Wheat,
28-01-19,AMRITSAR,Wheat,1000.0
28-01-19,LUDHIANA,Wheat,1100.0
28-01-19,LUCKNOW,Wheat,
28-01-19,DEHRADUN,Wheat,
28-01-19,RAIPUR,Wheat,
28-01-19,AHMEDABAD,Wheat,
28-01-19,BHOPAL,Wheat,1100.0
28-01-19,MUMBAI,Wheat,
28-01-19,JAIPUR,Wheat,1200.0
28-01-19,PATNA,Wheat,
28-01-19,RANCHI,Wheat,
28-01-19,BHUBANESHWAR,Wheat,1220.0
28-01-19,KOLKATA,Wheat,
28-01-19,GUWAHATI,Wheat,
28-01-19,SHILLONG,Wheat,
28-01-19,AIZWAL,Wheat,
28-01-19,KOHIMA,Wheat,
28-01-19,AGARTALA,Wheat,
28-01-19,BENGALURU,Wheat,1700.0
28-01-19,T.PURAM,Wheat,
28-01-19,CHENNAI,Wheat,
28-01-19,HYDERABAD,Wheat,
29-01-19,CHANDIGARH,Wheat,
29-01-19,DELHI,Wheat,1180.0
29-01-19,SHIMLA,Wheat,
29-01-19,SRINAGAR,Wheat,
29-01-19,JAMMU,Wheat,
29-01-19,AMRITSAR,Wheat,1000.0
29-01-19,LUDHIANA,Wheat,1100.0
29-01-19,LUCKNOW,Wheat,
29-01-19,DEHRADUN,Wheat,
29-01-19,RAIPUR,Wheat,
29-01-19,AHMEDABAD,Wheat,
29-01-19,BHOPAL,Wheat,
29-01-19,MUMBAI,Wheat,
29-01-19,JAIPUR,Wheat,
29-01-19,PATNA,Wheat,
29-01-19,RANCHI,Wheat,
29-01-19,BHUBANESHWAR,Wheat,
29-01-19,KOLKATA,Wheat,
29-01-19,GUWAHATI,Wheat,
29-01-19,SHILLONG,Wheat,
29-01-19,AIZWAL,Wheat,
29-01-19,KOHIMA,Wheat,
29-01-19,AGARTALA,Wheat,
29-01-19,BENGALURU,Wheat,1600.0
29-01-19,T.PURAM,Wheat,
29-01-19,CHENNAI,Wheat,1540.0
29-01-19,HYDERABAD,Wheat,
30-01-19,CHANDIGARH,Wheat,
30-01-19,DELHI,Wheat,1180.0
30-01-19,SHIMLA,Wheat,
30-01-19,SRINAGAR,Wheat,
30-01-19,JAMMU,Wheat,
30-01-19,AMRITSAR,Wheat,
30-01-19,LUDHIANA,Wheat,
30-01-19,LUCKNOW,Wheat,
30-01-19,DEHRADUN,Wheat,
30-01-19,RAIPUR,Wheat,
30-01-19,AHMEDABAD,Wheat,
30-01-19,BHOPAL,Wheat,1100.0
30-01-19,MUMBAI,Wheat,
30-01-19,JAIPUR,Wheat,
30-01-19,PATNA,Wheat,
30-01-19,RANCHI,Wheat,
30-01-19,BHUBANESHWAR,Wheat,
30-01-19,KOLKATA,Wheat,
30-01-19,GUWAHATI,Wheat,
